,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
0,-0.4549431417625468,-0.18776987105416387,-0.19693802197610258,-0.12349102338770797,-0.5251573428569705,0.680663375182022,-0.9970068536845296,1.0,46.0,15.0,9.0,1.0,3.06,0
1,-0.4549431417625468,-0.18776987105416387,-0.19693802197610258,-0.10303750400686729,-0.5251573428569705,0.680663375182022,-0.9970068536845296,1.0,46.0,15.0,9.0,1.0,1,0.757989206
2,1.601355017819858,0.03205904181861858,0.27372990156306687,-0.17462482183980965,-0.5251573428569705,-0.5935094182429437,-0.9970068536845296,6.0,71.0,15.0,9.0,1.0,1,0.58306862
3,1.768533729981029,0.047047376787217404,0.28513016268685293,-0.03145018617392492,-0.5251573428569705,-0.5935094182429437,-0.9970068536845296,6.0,47.0,15.0,9.0,1.0,2.37,0
4,-0.4549431417625468,-0.18776987105416387,-0.19693802197610258,-0.12349102338770797,-0.5251573428569705,0.680663375182022,-0.9970068536845296,1.0,71.0,15.0,9.0,1.0,4,None
5,-0.4549431417625468,-0.18776987105416387,-0.19693802197610258,-0.12349102338770797,-0.5251573428569705,0.680663375182022,-0.9970068536845296,1.0,71.0,15.0,9.0,1.0,2,None
6,-0.4549431417625468,-0.18776987105416387,-0.19693802197610258,-0.12349102338770797,-0.5251573428569705,0.680663375182022,-0.9970068536845296,1.0,71.0,15.0,9.0,1.0,1,None
7,-0.8192534186804323,-0.4519392748757179,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,40.0,15.0,9.0,1.0,12,1.819174095
8,-0.8210645213955117,-0.4519392748757179,-0.26832537139409657,-0.7456870829528814,-0.5251573428569705,-0.6900376601690774,-0.9970068536845296,1.0,32.0,15.0,9.0,1.0,3,1.515978412
9,0.5704196261593028,0.047047376787217404,0.0028379824788159424,-0.27689241874401305,0.5123439438808612,-0.5355924730872634,-0.17637467681888483,1.0,44.0,15.0,9.0,4.0,7,4.244739555
10,0.5704196261593028,0.047047376787217404,0.0028379824788159424,-0.27689241874401305,0.5123439438808612,-0.5355924730872634,-0.17637467681888483,1.0,33.0,15.0,9.0,4.0,15,4.244739555
11,0.16640440510313914,4.65845843545945,-0.21430984845044332,0.2344455657770039,1.549845230618693,2.070670058918348,-0.17637467681888483,1.0,63.0,15.0,9.0,5.0,7,None
12,-0.6811916655539983,4.65845843545945,-0.2592594494528,-0.7473233645033487,-0.5251573428569705,2.070670058918348,1.6290161122855338,1.0,63.0,9.0,9.0,1.0,15,None
13,-0.7519639870355609,4.65845843545945,-0.2587165798754768,1.3287088526519801,-0.5251573428569705,-0.47767552793158313,1.6290161122855338,1.0,63.0,16.0,9.0,1.0,55,None
14,-0.808804749170359,-0.39011239313024776,-0.2653395887188193,-0.2646203071155086,-0.5251573428569705,2.070670058918348,-0.17637467681888483,1.0,64.0,15.0,9.0,1.0,4,None
15,-0.7948731898235948,-0.22773876430376072,-0.24416767520321647,-0.7064163257416672,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,73.0,10.0,9.0,1.0,2.32,1.576617549
16,-0.7129556208646209,-0.32766099742775273,-0.2658607435130495,0.23792266407174684,-0.5251573428569705,-0.014339966686141093,-0.17637467681888483,1.0,44.0,7.0,9.0,1.0,1.7,17.91610851
17,-0.8114796085649378,-0.4525617903880803,-0.2676413557266694,-0.6859628063608266,-0.5251573428569705,-0.6900376601690774,2.2855218537780497,1.0,38.0,16.0,9.0,1.0,47.49,None
18,-0.7670100711300663,-0.2027582060227627,-0.24145332731660074,0.029910371968597114,-0.5251573428569705,-0.680384835976464,-0.17637467681888483,1.0,34.0,1.0,9.0,1.0,93.2,0
19,-0.7670100711300663,0.047047376787217404,-0.21430984845044332,0.029910371968597114,-0.5251573428569705,-0.680384835976464,-0.17637467681888483,1.0,34.0,1.0,9.0,1.0,80.3,0
20,-0.7670100711300663,0.5466585424071776,-0.1600228907181285,0.029910371968597114,-0.5251573428569705,-0.680384835976464,-0.17637467681888483,1.0,34.0,1.0,9.0,1.0,52.8,0
21,-0.7670100711300663,-0.2027582060227627,-0.24145332731660074,0.029910371968597114,-0.5251573428569705,-0.680384835976464,-0.17637467681888483,1.0,45.0,5.0,9.0,1.0,68.23,0
22,-0.7670100711300663,0.047047376787217404,-0.21430984845044332,0.029910371968597114,-0.5251573428569705,-0.680384835976464,-0.17637467681888483,1.0,45.0,5.0,9.0,1.0,67.24,0
23,-0.7670100711300663,0.5466585424071776,-0.1600228907181285,0.029910371968597114,-0.5251573428569705,-0.680384835976464,-0.17637467681888483,1.0,45.0,5.0,9.0,1.0,29.6,0
27,-0.8171636847784176,-0.4500057796647686,-0.2683188569591687,-0.5877859133327913,-0.5251573428569705,-0.6610791875912373,-0.17637467681888483,1.0,58.0,8.0,9.0,1.0,21.94,0
29,0.319651557917546,0.16195794487980825,-0.2468820230898322,-0.7677768838841893,-0.31765708550940414,1.143998936427464,-0.17637467681888483,1.0,16.0,15.0,9.0,5.0,2,0
30,-0.7865142542155362,-0.42658400822050485,-0.2614309277620926,-0.17462482183980965,-0.5251573428569705,-0.47767552793158313,0.9725103707930178,1.0,43.0,15.0,9.0,1.0,2,None
31,-0.7865142542155362,-0.42658400822050485,-0.2614309277620926,-0.17462482183980965,-0.5251573428569705,-0.014339966686141093,0.480131064673631,1.0,43.0,15.0,9.0,1.0,2,None
32,-0.7865142542155362,-0.42658400822050485,-0.2614309277620926,-0.17462482183980965,-0.5251573428569705,2.070670058918348,-0.17637467681888483,1.0,43.0,15.0,9.0,1.0,2,None
33,-0.641626037009188,-0.32266488577155317,-0.23276741407943036,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,1.0,43.0,15.0,9.0,1.0,2,None
34,-0.7502921999139491,-0.40060422760826697,-0.254265049341427,0.43898075958541066,-0.5251573428569705,2.070670058918348,-0.17637467681888483,1.0,43.0,15.0,9.0,1.0,2,None
36,-0.8157705288437411,0.047047376787217404,-0.26810822356316727,-0.574491125735245,-0.5251573428569705,-0.5935094182429437,-0.012248241445755877,1.0,29.0,15.0,9.0,1.0,2,0
37,-0.8213431525824468,-0.37762211398974876,-0.2685958757043026,-0.7433144747047039,-0.5251573428569705,-0.36184163762022264,-0.012248241445755877,1.0,28.0,15.0,9.0,1.0,2,0
38,-0.6332671014011294,-0.4260843970548849,-0.23439602281139982,-0.48142761255241984,-0.49278730271075016,0.680663375182022,-0.17637467681888483,1.0,68.0,15.0,9.0,5.0,1.98,0
39,-0.8043466501793946,-0.4492663551396511,-0.26153950167755724,-0.7473233645033487,-0.42140721418318733,-0.2460077473088621,-0.17637467681888483,1.0,48.0,15.0,9.0,0.0,2.35,None
40,-0.8043466501793946,-0.4492663551396511,-0.26153950167755724,-0.7473233645033487,-0.42140721418318733,-0.2460077473088621,-0.17637467681888483,1.0,48.0,15.0,9.0,0.0,2.25,None
41,-0.8157705288437411,0.047047376787217404,-0.26810822356316727,-0.5693777458900348,-0.5251573428569705,-0.47767552793158313,-0.012248241445755877,1.0,29.0,15.0,9.0,1.0,2.5,0
42,-0.8157705288437411,-0.07785541461777265,-0.2681625105208996,-0.6133528125588422,-0.5251573428569705,-0.36184163762022264,-0.07789881559500746,1.0,28.0,15.0,9.0,1.0,3.5,0
43,0.7933245757075308,-0.1627893127731659,0.046267548664667785,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,3.0,15.0,9.0,2.0,1.65,1.819174095
44,0.7933245757075308,-0.1627893127731659,0.046267548664667785,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,4.0,15.0,9.0,2.0,1.54,0.454793524
45,0.7933245757075308,-0.1627893127731659,0.046267548664667785,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,4.0,15.0,9.0,2.0,3.5,3.031956825
46,0.7933245757075308,-0.30767655080295436,0.046267548664667785,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,3.0,15.0,9.0,2.0,1.2,0
47,0.7933245757075308,-0.30767655080295436,0.046267548664667785,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,4.0,15.0,9.0,2.0,1.75,0
48,0.7933245757075308,-0.21774654099136154,0.046267548664667785,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,3.0,15.0,9.0,2.0,1.57,0.303195682
49,0.7933245757075308,0.0420512651310178,0.046267548664667785,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,3.0,15.0,9.0,2.0,1.61,0.606391365
50,0.5704196261593028,0.047047376787217404,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.1,7.579892062
51,0.38930935465136735,-0.2102523735070621,0.0028379824788159424,-0.48142761255241984,-0.5251573428569705,-0.5935094182429437,-0.17637467681888483,6.0,44.0,15.0,9.0,1.0,2.1,2.636484196
52,0.38930935465136735,-0.2102523735070621,0.0028379824788159424,-0.48142761255241984,-0.5251573428569705,-0.5935094182429437,-0.17637467681888483,6.0,33.0,15.0,9.0,1.0,2.1,2.636484196
54,0.5704196261593028,-0.07785541461777265,0.0028379824788159424,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.17637467681888483,6.0,19.0,15.0,5.0,1.0,0.77,0
55,-0.6722754675720694,-0.43557700920166414,-0.26675104961985946,1.2571215348190379,-0.5251573428569705,-0.6707320117838507,2.2855218537780497,6.0,81.0,16.0,9.0,1.0,45,0
69,-0.8171636847784176,-0.4524388860413378,-0.26751106702811184,-0.4773369086762517,-0.5251573428569705,2.070670058918348,-0.17637467681888483,6.0,41.0,15.0,9.0,1.0,40,0
70,-0.6834207150494808,-0.2327348759599603,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,3.0,26.0,12.0,3.0,1.0,37,None
71,-0.6834207150494808,-0.2327348759599603,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,4.0,26.0,12.0,3.0,1.0,39,None
72,-0.6834207150494808,-0.4275832305517448,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,4.0,26.0,12.0,3.0,1.0,38,None
73,-0.6834207150494808,-0.4275832305517448,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,4.0,27.0,12.0,3.0,1.0,35,None
75,-0.26547393464655283,-0.2527193225847587,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,5.0,26.0,12.0,7.0,1.0,3.8,None
76,-0.26547393464655283,-0.2527193225847587,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,5.0,26.0,12.0,3.0,1.0,1.13,None
77,-0.26547393464655283,-0.2527193225847587,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,5.0,27.0,12.0,3.0,1.0,1.22,None
78,-0.26547393464655283,-0.4026026722707468,-0.10573593298581369,0.8480511472022242,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,5.0,27.0,12.0,3.0,1.0,2.9,None
80,-0.5797699135095546,-0.45147463649169134,-0.22125857904017962,-0.07644792881177447,-0.5251573428569705,-0.36184163762022264,-0.17637467681888483,4.0,24.0,15.0,1.0,1.0,1.3,None
81,-0.5797699135095546,-0.45147463649169134,-0.22125857904017962,-0.07644792881177447,-0.5251573428569705,-0.36184163762022264,-0.17637467681888483,4.0,25.0,15.0,1.0,1.0,1.5,None
82,-0.5797699135095546,-0.45147463649169134,-0.22125857904017962,-0.07235722493560627,-0.5251573428569705,-0.36184163762022264,-0.17637467681888483,4.0,51.0,15.0,9.0,1.0,1.4,None
83,-0.6611302200946579,-0.4453194269312534,-0.2622995190858096,-0.6655092869799859,-0.5251573428569705,2.070670058918348,-0.17637467681888483,4.0,23.0,2.0,1.0,1.0,1.7,None
84,-0.6081902945769536,-0.37762211398974876,-0.2185442311535639,-0.7473233645033487,-0.006406699488054628,-0.36184163762022264,-0.17637467681888483,5.0,2.0,15.0,9.0,0.0,4.8,None
85,-0.6081902945769536,-0.37762211398974876,-0.2185442311535639,-0.7473233645033487,-0.006406699488054628,-0.36184163762022264,-0.17637467681888483,4.0,2.0,15.0,9.0,0.0,2.9,None
86,-0.6081902945769536,-0.37762211398974876,-0.2185442311535639,-0.7473233645033487,-0.006406699488054628,-0.36184163762022264,-0.17637467681888483,2.0,2.0,15.0,9.0,0.0,1.6,None
87,-0.6834207150494808,-0.4033520890191767,-0.26425384956417297,1.3757519472279136,-0.5251573428569705,-0.6707320117838507,0.64425750004676,3.0,30.0,8.0,9.0,1.0,35,None
88,-0.6834207150494808,-0.4033520890191767,-0.26425384956417297,1.3757519472279136,-0.5251573428569705,-0.6707320117838507,0.64425750004676,3.0,31.0,8.0,9.0,1.0,35,None
89,-0.4047895281141955,-0.44736783271029523,-0.2555679363270026,5.7037166482138,-0.5251573428569705,-0.6707320117838507,2.1213954184049206,3.0,54.0,8.0,9.0,1.0,24,None
90,-0.4047895281141955,1.4209780822421079,-0.2555679363270026,5.7037166482138,-0.5251573428569705,-0.6707320117838507,2.1213954184049206,3.0,28.0,8.0,9.0,1.0,23,0
91,-0.2794054939933171,-0.43158011987670447,-0.2501392405537711,-0.5632416900757825,-0.5251573428569705,-0.36184163762022264,1.6290161122855338,3.0,53.0,8.0,9.0,1.0,23,0
92,1.3505869495781015,0.42175575100218754,0.2905588584600845,-0.37916001564821644,3.8323480614419227,-0.36184163762022264,-0.17637467681888483,1.0,21.0,15.0,9.0,0.0,1.7,None
93,1.3505869495781015,0.42175575100218754,0.2905588584600845,-0.37916001564821644,3.8323480614419227,-0.36184163762022264,-0.17637467681888483,3.0,21.0,15.0,9.0,0.0,2,None
94,0.09674660836931795,7.541214861086621,-0.26859680618275816,-0.78823040326503,-0.5251573428569705,-0.6514263633986239,8.850579268703207,3.0,80.0,6.0,2.0,1.0,5,None
95,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,78.0,15.0,3.0,1.0,3.45,None
96,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,69.0,15.0,3.0,1.0,3.2,None
97,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,75.0,15.0,3.0,1.0,2.32,None
98,-0.47444732484801677,-0.32766099742775273,-0.23466745760006139,-0.5836952094566232,-0.5251573428569705,-0.47767552793158313,-0.9970068536845296,3.0,50.0,15.0,3.0,1.0,4.12,None
99,1.963575560835729,0.047047376787217404,0.0028379824788159424,-0.5836952094566232,-0.2346569825703776,-0.47767552793158313,-0.9970068536845296,3.0,11.0,15.0,3.0,4.0,2.5,None
100,0.5704196261593028,0.047047376787217404,-0.1328794118519711,-0.5836952094566232,-0.37990716271367403,-0.47767552793158313,-0.9970068536845296,3.0,66.0,15.0,3.0,4.0,2,0
101,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,5.0,15.0,9.0,0.0,1.6,None
102,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,10.0,15.0,9.0,0.0,1.2,None
103,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,9.0,15.0,9.0,0.0,1.2,None
104,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,6.0,15.0,9.0,0.0,1.2,None
105,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,8.0,15.0,9.0,0.0,1.5,None
106,0.849050813094588,0.3468140761591936,-0.16545158649136,-0.010996666793084241,1.549845230618693,-0.5935094182429437,-0.17637467681888483,3.0,7.0,15.0,9.0,0.0,1.7,None
107,-0.7029248981349507,-0.44407039901720347,-0.10573593298581369,0.029910371968597114,-0.5251573428569705,1.375666717050185,-0.17637467681888483,3.0,67.0,13.0,3.0,1.0,4.25,None
108,-0.07043210379185318,-0.4026026722707468,-0.04602027948026741,-0.7064163257416672,-0.5251573428569705,-0.36184163762022264,1.3007632415392758,0.0,59.0,11.0,8.0,1.0,18,15.15978412
109,-0.6555575963559522,-0.4175910072393456,-0.24145332731660074,-0.6655092869799859,-0.4006571884484307,-0.47767552793158313,-0.17637467681888483,0.0,59.0,11.0,9.0,0.0,4,4.547935237
110,-0.7112838337430093,-0.39261044895834757,-0.2208242833783211,-0.010996666793084241,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,36.0,15.0,9.0,1.0,3.3,2.273967619
111,-0.6566721211036933,-0.4450696213484434,-0.26778250181677343,1.2571215348190379,-0.5251573428569705,0.44899559455930094,0.21752876807662466,1.0,36.0,4.0,9.0,1.0,9,0.757989206
112,-0.6566721211036933,-0.4450696213484434,-0.26778250181677343,1.2571215348190379,-0.5251573428569705,0.44899559455930094,0.21752876807662466,1.0,36.0,4.0,9.0,1.0,15,0.909587047
113,-0.7519639870355609,-0.42258711889554523,-0.2631681104095267,0.3162596433003666,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,1.0,14.0,9.0,1.0,3.5,0
114,-0.8226882446373769,-0.4514396637100979,-0.2684746605278604,-0.48142761255241984,-0.5251573428569705,0.44899559455930094,-0.17637467681888483,1.0,36.0,4.0,9.0,1.0,21,None
115,0.5704196261593028,0.047047376787217404,0.0028379824788159424,-0.19241938370114106,1.549845230618693,-0.5355924730872634,-0.17637467681888483,1.0,79.0,11.0,9.0,4.0,3,None
116,0.5704196261593028,-0.2027582060227627,-0.2653395887188193,-0.37916001564821644,-0.5251573428569705,-0.6900376601690774,-0.17637467681888483,1.0,81.0,15.0,9.0,1.0,5,None
117,-0.808804749170359,1.0462697080271377,-0.2653395887188193,-0.37916001564821644,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,65.0,15.0,9.0,1.0,5,None
118,-0.808804749170359,1.0462697080271377,-0.2653395887188193,-0.37916001564821644,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,65.0,15.0,9.0,1.0,5,None
119,-0.808804749170359,-0.4490665106734031,-0.268216797478632,-0.37916001564821644,-0.5251573428569705,-0.6514263633986239,2.2855218537780497,1.0,81.0,16.0,9.0,1.0,45,0
120,-0.8192534186804323,-0.4525587927210866,-0.2685018040067266,-0.6859628063608266,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,65.0,16.0,9.0,1.0,45,13.34061003
121,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,56.0,12.0,3.0,1.0,2.5,None
122,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,57.0,12.0,3.0,1.0,2.5,None
123,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,57.0,12.0,3.0,1.0,2,None
124,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,74.0,12.0,3.0,1.0,2.7,None
125,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,60.0,12.0,3.0,1.0,1.6,None
126,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,60.0,12.0,3.0,1.0,1.5,None
127,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,60.0,12.0,3.0,1.0,1.6,None
128,0.5035481412948343,-0.40500080586572257,-0.10573593298581369,2.279797503861072,-0.5251573428569705,2.070670058918348,-0.17637467681888483,5.0,60.0,12.0,3.0,1.0,1.6,None
129,-0.7817775240376365,-0.4521640999002468,-0.2685533766165723,0.2344455657770039,-0.5251573428569705,-0.6900376601690774,2.2855218537780497,1.0,1.0,0.0,9.0,1.0,50,0
130,-0.7817775240376365,-0.45206417766712287,-0.2685425192250258,0.2344455657770039,-0.5251573428569705,-0.6900376601690774,2.2855218537780497,1.0,1.0,0.0,9.0,1.0,80,0
132,-0.7948731898235948,-0.22773876430376072,-0.24416767520321647,-0.7064163257416672,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,73.0,10.0,9.0,1.0,2.32,1.576617549
138,0.5704196261593028,-0.4463186492624933,0.0028379824788159424,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.17637467681888483,6.0,70.0,15.0,5.0,1.0,0.77,0.151597841
139,0.5704196261593028,-0.39011239313024776,0.0028379824788159424,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.17637467681888483,6.0,70.0,15.0,5.0,1.0,0.77,0.212236978
140,0.5704196261593028,0.17195016819220746,0.0028379824788159424,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.17637467681888483,6.0,70.0,15.0,5.0,1.0,0.77,0.303195682
142,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.3,6
143,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.47,2
144,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.6,None
145,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.86,1
146,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,2.2,None
147,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,2.95,0
148,-0.7271658113983205,-0.4354271258519782,-0.26487272088232133,-0.7800489955126938,0.242593609329025,-0.47767552793158313,-0.17637467681888483,1.0,21.0,15.0,4.0,0.0,1,10.82841723
149,-0.7271658113983205,-0.4354271258519782,-0.26487272088232133,-0.7800489955126938,0.242593609329025,-0.47767552793158313,-0.17637467681888483,1.0,21.0,15.0,4.0,0.0,1,10.82841723
150,-0.2599013109078471,-0.35164233337751083,-0.25763084072083053,-0.6552825272895656,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,55.0,15.0,4.0,1.0,1,0
151,-0.2599013109078471,-0.35164233337751083,-0.25763084072083053,-0.6552825272895656,-0.5251573428569705,-0.47767552793158313,-0.17637467681888483,1.0,55.0,15.0,4.0,1.0,1,0
152,0.849050813094588,0.14696960991120941,0.05712494021113076,-0.5836952094566232,0.9273444585759938,-0.47767552793158313,-0.17637467681888483,1.0,72.0,15.0,9.0,2.0,2.1,None
153,1.6849443739004435,-0.032890409711976244,0.05712494021113076,-0.5836952094566232,1.1348447159235602,-0.014339966686141093,-0.17637467681888483,1.0,12.0,15.0,9.0,5.0,7.4,0.212236978
154,1.6849443739004435,-0.032890409711976244,0.27427277114039,-0.5836952094566232,1.1348447159235602,-0.014339966686141093,-0.17637467681888483,1.0,15.0,15.0,9.0,5.0,3.5,10.61184889
155,-0.37692640942066696,-0.05287485633677462,-0.18173767381105443,-0.757550124193769,-0.4317822270505656,-0.014339966686141093,-0.9970068536845296,1.0,16.0,15.0,9.0,2.0,1,0
156,-0.37692640942066696,-0.05287485633677462,-0.16870880395529889,-0.757550124193769,-0.4317822270505656,-0.014339966686141093,-0.9970068536845296,1.0,71.0,15.0,9.0,2.0,1,15.15151515
170,0.5704196261593028,0.047047376787217404,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,1.0,79.0,15.0,9.0,4.0,0.57,4.85113092
171,0.5704196261593028,0.047047376787217404,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,1.0,79.0,15.0,9.0,4.0,1.18,2.42556546
172,0.5704196261593028,0.047047376787217404,0.0028379824788159424,-0.27689241874401305,1.549845230618693,-0.5355924730872634,-0.17637467681888483,1.0,79.0,15.0,9.0,4.0,1.75,1.21278273
173,1.963575560835729,1.545880873647098,-0.2604537625229109,0.6435159533938174,3.6248478040943564,-0.5355924730872634,-0.17637467681888483,1.0,49.0,15.0,9.0,4.0,1,5
186,6.254495839639121,4.633477877178452,1.3600119257866863,1.2571215348190379,3.6248478040943564,-0.5935094182429437,-0.9970068536845296,1.0,22.0,15.0,9.0,4.0,1,4.7
187,6.254495839639121,4.633477877178452,1.3600119257866863,1.2571215348190379,3.6248478040943564,-0.5935094182429437,-0.9970068536845296,1.0,17.0,15.0,9.0,4.0,1,0
188,1.963575560835729,1.545880873647098,7.874446853664463,0.6435159533938174,3.6248478040943564,-0.5355924730872634,-0.17637467681888483,1.0,49.0,15.0,9.0,4.0,0.7,4
189,1.963575560835729,1.545880873647098,7.874446853664463,0.6435159533938174,3.6248478040943564,-0.5355924730872634,-0.17637467681888483,1.0,49.0,15.0,9.0,4.0,0.8,1
190,1.963575560835729,1.545880873647098,7.874446853664463,0.6435159533938174,3.6248478040943564,-0.5355924730872634,-0.17637467681888483,1.0,49.0,15.0,9.0,4.0,0.9,1
191,-0.8192534186804323,-0.4524139054830568,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,39.0,15.0,9.0,1.0,20,0
192,-0.8192534186804323,-0.4524139054830568,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,37.0,15.0,9.0,1.0,20,0
197,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.17462482183980965,-0.006406699488054628,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.05,15
198,0.5704196261593028,-0.2027582060227627,0.0028379824788159424,-0.17462482183980965,-0.006406699488054628,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.3,10
199,0.5704196261593028,-0.32766099742775273,0.0028379824788159424,-0.17462482183980965,-0.006406699488054628,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.05,7
200,0.5704196261593028,-0.32766099742775273,0.0028379824788159424,-0.17462482183980965,-0.006406699488054628,-0.5355924730872634,-0.17637467681888483,6.0,79.0,15.0,9.0,4.0,1.3,3
